"name","area"
"Верхний Бор","((57.2215719220637,65.4804545425967),(57.2193137016976,65.4763132118777),(57.2224328027467,65.4692394108783),(57.2250632764614,65.4651195378315),(57.2256335755788,65.4650980801594),(57.2275737559601,65.4686140019257),(57.2274224609745,65.4696439701874),(57.2263249271299,65.4721486270264),(57.2255694749394,65.4740902713754),(57.2244405049254,65.4771372608164),(57.2239400225852,65.4783174327829),(57.223486090839,65.4791757396676),(57.2225898501724,65.4798838428476),(57.2215719220637,65.4804545425967))"
"Верховино","((57.1043091545765,64.9098753956544),(57.1036085236319,64.9101328877198),(57.105757083056,64.9227499989258),(57.1078588136586,64.9211192158448),(57.1081857387741,64.920432570337),(57.1100538267397,64.9214625385986),(57.1125755955074,64.9194026020753),(57.1173384663683,64.9201750782715),(57.119570128997,64.9196673522856),(57.1222779901341,64.9162341247466),(57.1222779901341,64.9171782623198),(57.1263860895442,64.9158908019927),(57.128439967677,64.9158908019927),(57.1289534193388,64.9147750030425),(57.1314272226044,64.9140883575347),(57.1311471777343,64.8992396484282),(57.1313338745507,64.8901415954497),(57.1225114171331,64.8782111297514),(57.1198502617727,64.8855925689604),(57.1181227423964,64.8936606536772),(57.1159282092404,64.8990679870512),(57.1144339843163,64.9010420928862),(57.112893001487,64.9054194579985),(57.1092971246214,64.9081660400298),(57.1082229635712,64.9085951934722),(57.1065883106839,64.9105692993071),(57.1065883106839,64.9115134368804),(57.1062146655732,64.9114276061919),(57.1043091545765,64.9098753956544))"
"Веселая Грива д.","((57.6064737804032,65.2123443695918),(57.6072713516382,65.218857154811),(57.6065227044103,65.2198012923843),(57.6061541339356,65.2206810569412),(57.6060389548929,65.2213247871047),(57.605958329333,65.2217861270553),(57.605946811387,65.2224620437271),(57.6060504727976,65.2234276389724),(57.6070179650785,65.2295645331985),(57.6083647552175,65.2364262671609),(57.6090788135118,65.2377351851602),(57.6107372171526,65.2382501692911),(57.6115663904884,65.242563161387),(57.6124416084083,65.2420696349283),(57.6119003577174,65.2381643386026),(57.6117161003168,65.2375849814553),(57.6108984467805,65.2343663306375),(57.6102189741746,65.23337927772),(57.6093321856507,65.225633058085),(57.6107445633542,65.2251279365405),(57.6101226710166,65.2192485343799),(57.6087176156666,65.2199995529041),(57.6076831275503,65.2117650124446),(57.6064737804032,65.2123443695918))"
"Веселый п.","((57.1806468687478,66.5927503635447),(57.1786599934217,66.5941129257243),(57.1780423505176,66.5896282722514),(57.1737302149772,66.5912161399883),(57.1733572497889,66.5925465156596),(57.1729143487287,66.5934477378887),(57.1730309021491,66.5956364204448),(57.1733106288751,66.5981898834271),(57.1732640078937,66.6009311010403),(57.1729143487075,66.6043589641613),(57.1754085115451,66.6040961076778),(57.179067865162,66.6027630497974),(57.1809556696904,66.5953360130353),(57.1806468687478,66.5927503635447))"
"Веселый с/о","((57.206454596548,65.5043540051506),(57.2072231414608,65.503345494561),(57.2085855224849,65.5041501572655),(57.2058068521047,65.5070469430016),(57.2051503623919,65.5056200078056),(57.206454596548,65.5043540051506))"
"Весна с/о","((57.1999010502035,65.4326853169444),(57.1991964110084,65.4333397759438),(57.1954284006468,65.4380926503184),(57.1932617654937,65.4408392323496),(57.1915376850662,65.4359468831065),(57.1921667508001,65.4341873539927),(57.1919803620743,65.4312691105845),(57.1888582105306,65.4191884411814),(57.1923531385738,65.419295729542),(57.194449936041,65.4186949147227),(57.1942169644454,65.4169353856088),(57.1959758635077,65.4166993512156),(57.1970824125404,65.415690840626),(57.1972105370965,65.423286856556),(57.196896048696,65.4244884861947),(57.1980142174755,65.4281792057992),(57.1999010502035,65.4326853169444))"
"Виктория с/о","((57.3128262401793,65.6494533018712),(57.3134996740298,65.6515132383947),(57.3134067873385,65.6608687834386),(57.3125940187388,65.661297936881),(57.31175800936,65.6593238310461),(57.3093427639512,65.6573068098669),(57.3095053335454,65.6487666563634),(57.3128262401793,65.6494533018712))"
"Виктория с/о.","((56.7633255891351,66.0592347815734),(56.767944919523,66.0709077552062),(56.7681334514989,66.0750276282531),(56.7746372225082,66.0673028662901),(56.7692646233824,66.0520250037413),(56.7633255891351,66.0592347815734))"
"Виктория-1 с/о","((57.2572134580949,65.4329868833807),(57.2593530695626,65.4402717630651),(57.2635871182289,65.4461322637302),(57.2638885564533,65.4443982786184),(57.2638067439141,65.4392075651304),(57.2640681275692,65.4384253816805),(57.2650038347741,65.4321929495124),(57.2632133572822,65.4301330129889),(57.267061613338,65.4184224884299),(57.2634051983247,65.4147129933623),(57.2572134580949,65.4329868833807))"
"Вилижаны п.","((57.1689875860758,65.8870174581191),(57.1701434036522,65.8912196474749),(57.1719985306769,65.8966234664693),(57.1733389061701,65.8993271331563),(57.1738459050447,65.8998206596151),(57.1741926416345,65.8995524387136),(57.1746457252831,65.900534127213),(57.1770101195793,65.8984259109273),(57.178414407574,65.893866155602),(57.1780007017385,65.8930829505696),(57.1786183453628,65.8905724029317),(57.1812053437544,65.8810022811665),(57.1780497722634,65.878412145853),(57.1743344987417,65.8801993756518),(57.173416205086,65.8793258541079),(57.1743556648321,65.878374109205),(57.1717053064713,65.8759632425981),(57.1694305343726,65.8722974950454),(57.1699630641529,65.8688283809214),(57.1661279432103,65.8651376613168),(57.1648106210728,65.8665967830209),(57.1646940416381,65.8653951533823),(57.1639012915829,65.8659101375132),(57.1689875860758,65.8870174581191))"
"Винзили","((56.9502465362928,65.7803655399981),(56.9432642925694,65.7702155954413),(56.9448592623354,65.7669540292793),(56.944249429051,65.7649799234443),(56.9448035568034,65.7634456998878),(56.9483729383504,65.7533123142295),(56.9524578833804,65.7431789285713),(56.954474540189,65.7441230661445),(56.9551779993484,65.7424922830635),(56.9560690284815,65.7437797433906),(56.9584606325134,65.7407756692939),(56.9608520824623,65.7411189920479),(56.9606176333974,65.7375141031318),(56.9620243055729,65.7351966745429),(56.9630089443745,65.7355399972969),(56.9637591278324,65.7361408121162),(56.9641342138748,65.7418056375556),(56.9638997855425,65.7432647592597),(56.963806013795,65.7455821878486),(56.9648374899863,65.7472988016181),(56.9666659455034,65.7539935953193),(56.9676035800521,65.7601734048896),(56.968166149409,65.7592292673164),(56.9706976059666,65.7695289499336),(56.9714476340006,65.7738204843574),(56.972525772736,65.7766528970772),(56.9769786225095,65.7750221139961),(56.9778222601309,65.7763954050117),(56.9792751466113,65.7763954050117),(56.9800250012375,65.7757945901924),(56.9802593276992,65.7769103891426),(56.9818058452158,65.7757087595039),(56.9818527083763,65.7778545267158),(56.9826493730437,65.7800002939277),(56.9825087864048,65.7822318918281),(56.9815246650095,65.7838626749092),(56.9831648528268,65.7865234262519),(56.9827430971736,65.787982547956),(56.9833054369786,65.7914157754951),(56.9835866036834,65.7940765268379),(56.9760880953146,65.793561542707),(56.9752912897021,65.7988830453926),(56.9690099874519,65.8077236063056),(56.9684474308889,65.808324421125),(56.9667597100244,65.8071227914863),(56.9654469851691,65.8081527597481),(56.963384037999,65.802745426374),(56.9624931844356,65.8016296274237),(56.9617501928647,65.8010740821573),(56.9601631663821,65.7949395421398),(56.9597086938171,65.7957167267532),(56.9595500005331,65.7945245139488),(56.9600766531277,65.7933417179788),(56.9605672598674,65.7914911101696),(56.9604231059813,65.7898498310747),(56.9596658878796,65.7865672728849),(56.9595369369486,65.7857947966887),(56.9590328517673,65.7864814421965),(56.9564302565738,65.7833915374113),(56.9537102323565,65.787296833737),(56.9535226371378,65.7872539183928),(56.9502465362928,65.7803655399981))"
"Винзили (Южный мкр)","((56.9437170233187,65.7337465584422),(56.9416059543761,65.7399263680125),(56.9425442220598,65.7417288124705),(56.9425442220598,65.745419532075),(56.94338864271,65.7517710030223),(56.9427318727448,65.7523718178416),(56.9429664347848,65.7571783363963),(56.9440454010389,65.7651605904246),(56.9480795189411,65.754603415742),(56.9523946018009,65.7434454262401),(56.9499088000882,65.7404413521433),(56.9493928581229,65.7410421669627),(56.9484547634553,65.740012198701),(56.9480326131229,65.7385530769969),(56.9437170233187,65.7337465584422))"
"Вишенка с/о","((57.213410616933,65.5143310253845),(57.2114196889412,65.5136658375488),(57.2110121757683,65.5175282185303),(57.2103135712327,65.5173350994812),(57.2101243635651,65.5211706583724),(57.2116467300275,65.5222167198882),(57.2122026837091,65.5227370684372),(57.2125141305499,65.5228497212158),(57.213410616933,65.5143310253845))"
"Вишенка с/о.","((56.9303068332747,65.8227901878724),(56.9322308416082,65.8249788704286),(56.9322543045096,65.8257084312806),(56.9314096307255,65.827038806952),(56.9301895124708,65.8283262672791),(56.9288050990109,65.8316307487855),(56.9289224241857,65.8286695900331),(56.9285469823223,65.8275967064271),(56.9283357946072,65.8296566429505),(56.9277726214995,65.8293562355409),(56.9273033040568,65.8267813148866),(56.9275144976394,65.8254509392152),(56.9286408431438,65.8262663307557),(56.9301425840455,65.8257942619691),(56.9303068332747,65.8227901878724))"
"Водник с/о","((57.148038597091,65.7210043789125),(57.1480969132207,65.71875132334),(57.149776378163,65.7193521381593),(57.1503828328015,65.7198671222902),(57.1497064019856,65.7228711963869),(57.1486567433778,65.7271627308107),(57.1481902188439,65.7266477466799),(57.1483301768165,65.7255319477296),(57.1480036073689,65.7246307255007),(57.148038597091,65.7210043789125))"
"Водник с/о.","((57.3141344903665,65.6756991478134),(57.3148311209657,65.6773299308944),(57.3143667020387,65.6799048515487),(57.3148775625344,65.6877154442001),(57.3140880478553,65.6892603965927),(57.3141344903665,65.6920069786239),(57.3114407273564,65.6914061638046),(57.3086538674505,65.6879729362655),(57.3071210041123,65.6822222801376),(57.3071210041123,65.6798190208603),(57.3059597013001,65.6714076133896),(57.3095363960306,65.6707209678817),(57.3128805218914,65.6664294334579),(57.3137629486281,65.6676310630966),(57.3142273752121,65.6671160789657),(57.3152955340027,65.6735533806015),(57.3141344903665,65.6756991478134))"
"Войновка","((57.097349876143,65.6288088322886),(57.0982433296935,65.6254131556757),(57.0989732593701,65.6237555505045),(57.1001878303726,65.6228596926935),(57.1005265017001,65.6219075084932),(57.1022081340271,65.623830652357),(57.103282470119,65.6259549618968),(57.1010753762223,65.6314910413034),(57.1040648473932,65.6348384381541),(57.1020913564597,65.6397200585611),(57.1012578459756,65.6418537558324),(57.1008680894388,65.641155040384),(57.1002535211379,65.6405287445791),(57.0996389426219,65.6420053006418),(57.0974725082559,65.6477049947985),(57.0966461931952,65.6498038233526),(57.0960651337309,65.6509370566615),(57.094167137048,65.6558428169496),(57.0929552881448,65.6585639179953),(57.0920704673367,65.6603408814676),(57.0913812852726,65.6591231585748),(57.0908322666655,65.6535709859141),(57.0888931142478,65.6513393880137),(57.0884725617346,65.6464470387706),(57.0892902983404,65.6452024937877),(57.0895472975352,65.6384647847423),(57.0910074862824,65.6343234540233),(57.0921639148115,65.6360186101207),(57.0938636684768,65.6381214619882),(57.097349876143,65.6288088322886))"
"Вокзал","((54.8575694863963,69.1482774859919),(54.8607383474053,69.1541139728083),(54.8611344374463,69.1705934649958),(54.8591539481636,69.1721384173884),(54.8637089274622,69.2191736346736),(54.8651941350638,69.2196886188044),(54.8639069583173,69.2263834125056),(54.8567772320651,69.2406313067927),(54.8568762647114,69.1987459308161),(54.8556878568358,69.1498224383845),(54.8575694863963,69.1482774859919))"
"Воровского ","((57.1231281177819,65.5851859396319),(57.1244437137622,65.587057350578),(57.1288400894952,65.5944648409309),(57.1364179299477,65.6079065306211),(57.1294637942422,65.6308233244443),(57.123395356143,65.6229269011045),(57.1221815487049,65.6169187529111),(57.1205008263135,65.6110822660947),(57.1182597440067,65.6110822660947),(57.1146643900694,65.6066619856381),(57.1231281177819,65.5851859396319))"
"Воронино","((57.1874803895116,65.4600505310657),(57.1947497391857,65.4515962082507),(57.1991292948966,65.4576901871325),(57.1994321172322,65.4603509384753),(57.1967415698493,65.4645995575549),(57.1932062874391,65.4677538353564),(57.1917181056695,65.4692451435687),(57.1903671135874,65.4663094658019),(57.1898084633085,65.4650816846253),(57.1885041848909,65.4668150622012),(57.1875735953949,65.4681186157824),(57.1874803895116,65.4600505310657))"
"Восточный","((57.106079320473,65.5952490330943),(57.1145317989361,65.6067166749833),(57.1121973054617,65.6130803586253),(57.1104811028421,65.6177474023111),(57.1079372985853,65.6243442953833),(57.1064383714299,65.6281355978259),(57.1053502610412,65.6313830823907),(57.10412199328,65.6348022283324),(57.1011303371091,65.6314836652287),(57.1044456673202,65.6233012513526),(57.1052775777871,65.6213843729615),(57.1058759387401,65.6214416004054),(57.106745696572,65.6206977484085),(57.107317557229,65.61946753648),(57.1079475150304,65.6175220967539),(57.1011168790115,65.607889390551),(57.106079320473,65.5952490330943))"
"Восточный-2","((57.0957681055536,65.6215848861205),(57.1010931132535,65.6080163480051),(57.1078774594286,65.617543554426),(57.1072878196047,65.6194264651544),(57.106709846675,65.6206227303752),(57.1059100106077,65.621325469137),(57.1052386020004,65.621320104719),(57.1042810938129,65.6236053467996),(57.1033235608032,65.6259549618967),(57.1022206983555,65.6237394321443),(57.1005048248208,65.6218002201326),(57.100161773913,65.6228167773493),(57.0989734792572,65.623669719816),(57.0982013057669,65.6253789694694),(57.0973136908281,65.6288336546806),(57.0938564607999,65.6380389960197),(57.0909946573047,65.6342839033988),(57.0931205896497,65.6286190779594),(57.0957681055536,65.6215848861205))"
"Восточный-3","((57.0981924668748,65.6150658030271),(57.0960201077647,65.6122977633237),(57.0931701525627,65.6150658030271),(57.0938709816142,65.617769469714),(57.0938593012389,65.6186277765988),(57.0958565917001,65.621181239581),(57.0981924668748,65.6150658030271))"
"Восход с/о","((56.879877971032,65.4087786212585),(56.8797839870865,65.3926424518249),(56.8844828941091,65.3948740497254),(56.8837311088438,65.4003672137879),(56.8845768661997,65.4007105365418),(56.8842949492163,65.4055170550965),(56.8828383441131,65.4105810657166),(56.879877971032,65.4087786212585))"
"Высокий берег к/п","((57.1485734450365,65.9525885674237),(57.1482702040681,65.946709165263),(57.1426481312659,65.9484686943768),(57.1411783193816,65.9619441124676),(57.148806705616,65.9595837685346),(57.1485734450365,65.9525885674237))"
"Гаева д.","((56.4490582755213,65.19683502556),(56.449557383447,65.2007403218857),(56.4501753174723,65.2044739568344),(56.4515062180228,65.2098383748642),(56.4526944825288,65.2104821050278),(56.4544103030226,65.2123161163783),(56.4545647676587,65.2142902222133),(56.4538637307796,65.2208133545375),(56.4568341369835,65.2224870529628),(56.4584024173804,65.2218862381435),(56.4565727505963,65.2286239471889),(56.4580697572746,65.2312417831875),(56.4601844752762,65.2296968307949),(56.4601369548218,65.2244182434536),(56.4605171167849,65.2233453598476),(56.4605883967276,65.2218862381435),(56.4595429441053,65.215491851852),(56.4517486594169,65.194592079208),(56.4490582755213,65.19683502556))"
"Гвоздика с/о","((57.2474961862657,65.511299827022),(57.2445765031564,65.5103771471209),(57.244343849081,65.5132417463488),(57.2431514738899,65.5130754493898),(57.2428431949984,65.5163852953142),(57.247193759759,65.5176298402971),(57.2474961862657,65.511299827022))"
"Геолог-1 с/о","((57.2351480122561,65.645867150555),(57.2379870018937,65.6480987484555),(57.2406699299965,65.6368155634833),(57.2392209239528,65.6360772053926),(57.2391098408969,65.6359611197933),(57.2383186933088,65.6364117309078),(57.2378416696153,65.6364331885799),(57.2374111795,65.6363259002193),(57.2373879096203,65.6379566833004),(57.2360964081801,65.6437073394283),(57.2356077201165,65.6442866965756),(57.2351480122561,65.645867150555))"
"Геолог-2 с/о","((57.3702258091473,65.7710438889553),(57.3675361734499,65.7685547989895),(57.364197039931,65.7687264603664),(57.3641042818672,65.7531052750637),(57.3744917218067,65.7637482804348),(57.3777371912828,65.7662373704006),(57.3774590194821,65.7687264603664),(57.3753726634426,65.7688122910549),(57.376207220166,65.7716447037746),(57.3743989898709,65.774047963052),(57.3714314436322,65.7737904709866),(57.3714778133955,65.7723313492824),(57.3735180247414,65.7714730423977),(57.3737034928497,65.7727605027248),(57.3744453558682,65.7725030106594),(57.3739816932469,65.7697564286281),(57.3731470857003,65.7692414444973),(57.3702258091473,65.7710438889553))"
"Геолог-3","((57.2046775053855,65.5853921097805),(57.2041534629708,65.5892759484341),(57.2036177674347,65.589447609811),(57.202208618019,65.5886965912868),(57.2019174647274,65.5887180489589),(57.2010206980704,65.5873018425991),(57.2001006160393,65.586593739419),(57.200496603529,65.5860787552883),(57.2001239095469,65.585306279092),(57.2008460007146,65.5810362023402),(57.2046775053855,65.5853921097805))"
"Геофизик с/о","((57.3226886710778,65.0410804220637),(57.3193918767353,65.0391063162287),(57.3184167116575,65.043827004095),(57.3192990049897,65.0445994802912),(57.3186953329014,65.0485476919611),(57.318602459389,65.0536117025813),(57.3228279657101,65.056444115301),(57.3226886710778,65.0410804220637))"
"Геофизик-2 с/о","((57.3426642759142,65.7270014704845),(57.3431747415842,65.7275164546153),(57.3429891185298,65.7300484599253),(57.3428789043878,65.7333851279399),(57.3416549251025,65.7342327059886),(57.3418521567678,65.7486308039805),(57.3397869725693,65.7521927775522),(57.3377796874336,65.7506478251597),(57.3368398224385,65.7480729045054),(57.3363814844392,65.7480192603251),(57.3355518200842,65.7452190341136),(57.3346060957909,65.7413888396403),(57.3346815225632,65.7389319361827),(57.3358187071868,65.7388461054942),(57.3366541672422,65.7420862139842),(57.3381393824789,65.7432663859507),(57.3389283785448,65.7434380473277),(57.339763767598,65.7433522166392),(57.3402046596855,65.7412493647715),(57.3403090807095,65.7358205737253),(57.3399958167196,65.7321942271372),(57.3409239985264,65.7299197138926),(57.3417593420026,65.7277954043528),(57.3411560402886,65.7257569255015),(57.3415969156047,65.724941533961),(57.3426642759142,65.7270014704845))"
"Гилева","((57.1273438535238,65.658484074659),(57.1262531951639,65.6584293364907),(57.1255704862989,65.658305954876),(57.1245843289591,65.6582254886055),(57.123901589192,65.6582952260399),(57.1232655211225,65.6582362174416),(57.1225944282448,65.6579840897942),(57.1219233231579,65.6579894542122),(57.1189586432719,65.6536120891),(57.1238840829006,65.644084882679),(57.1239074246276,65.6428832530403),(57.1245843289764,65.6413383006477),(57.1259847812628,65.6483764171029),(57.1273438535238,65.658484074659))"
"Гилевская роща","((57.1152269209049,65.6397210315112),(57.1173876342615,65.6345005463217),(57.1215219358718,65.6250895442045),(57.1219070975181,65.6263770045316),(57.1221055125678,65.6276644648588),(57.1225723672638,65.6295956553495),(57.1230859006136,65.6327713908231),(57.1235060589383,65.6345738352811),(57.1237161363174,65.6376637400664),(57.1245330924997,65.641569036392),(57.1238328454436,65.6429423274076),(57.1238795290014,65.6439722956693),(57.1189540887646,65.6535424174345),(57.1130193837932,65.6449415167008),(57.1152269209049,65.6397210315112))"
"Головина","((56.8942011589001,65.6332184823981),(56.8957512632261,65.6294419321052),(56.9009647765968,65.633561805152),(56.9008708458822,65.6386258157721),(56.9011526373146,65.6448914560309),(56.8995088238673,65.6586243661872),(56.8954224586138,65.6562211069099),(56.8942011589001,65.6532170328132),(56.8942011589001,65.6332184823981))"
"Голышево","((57.44252389412,64.6622024844165),(57.4420090306064,64.6621381114001),(57.4420148156301,64.6613334486957),(57.4417949840837,64.6613012621875),(57.4418470495698,64.6599708865161),(57.4426800872309,64.6600674460407),(57.4429404075946,64.6595417330737),(57.4427842155995,64.659241325664),(57.443327992246,64.6583615611072),(57.4446499355579,64.6608601023795),(57.4447540582976,64.6609673907401),(57.4447656274725,64.6612356116416),(57.4445284586522,64.6616969515922),(57.4448234732921,64.6623299529197),(57.4441929489039,64.6635959555747),(57.4453054486528,64.6678073925905),(57.4449005313434,64.6681936306887),(57.4449468078351,64.6691055817537),(57.4446749326049,64.6684189362459),(57.4442526542888,64.6688051743441),(57.44252389412,64.6622024844165))"
"Голышманово","((56.3946923932019,68.3385854307166),(56.3929826604973,68.3427210362184),(56.3916537045236,68.3559546946986),(56.3893209148814,68.355482625912),(56.3888210127169,68.3597097873194),(56.387047497129,68.3584759711726),(56.3872736547426,68.3544955729945),(56.3857262336277,68.3537230967982),(56.3841787493898,68.3553538798792),(56.381012161817,68.3658681392176),(56.3780358047344,68.3846221446498),(56.3837025877065,68.3952651500209),(56.3826073931132,68.4047065257533),(56.385797654453,68.408611822079),(56.3848691732307,68.4115944385035),(56.3854048382442,68.4138582229121),(56.3862261765881,68.4154353618129),(56.391201440191,68.4114871501429),(56.3951764209791,68.4077964305384),(56.4011738068559,68.3977542399867),(56.4043625066405,68.3914027690394),(56.4085740347757,68.3942780971033),(56.4100253569526,68.3912311076625),(56.4112545051013,68.3908563199988),(56.4130109935974,68.3900681113477),(56.4144343569426,68.3842158920765),(56.4143154120367,68.3788514740466),(56.4134233133576,68.3786583549975),(56.4131973116986,68.376748622179),(56.4126739342395,68.3767915375231),(56.4123408721035,68.3735728867053),(56.4115319947101,68.3734012253283),(56.4118888545071,68.3707404739855),(56.4110085942671,68.3653331406116),(56.4078204535842,68.3653331406116),(56.4060359294138,68.3508706696033),(56.4048997385761,68.3485854275226),(56.4030020454923,68.3464718468189),(56.4002058982428,68.3451629288196),(56.4002772917987,68.3433175690173),(56.3987958478826,68.3414400227069),(56.3995990475538,68.3352709419727),(56.395927988764,68.3280718929767),(56.3951604129125,68.3325458176135),(56.3946923932019,68.3385854307166))"
"Голякова","((57.4420612901366,64.4087585776771),(57.4415811306561,64.4092521041358),(57.4411799221424,64.4096148042632),(57.4440839546146,64.4212234048796),(57.4444821499142,64.4208722794598),(57.4447308882219,64.4216769421643),(57.4455291531824,64.4208615506238),(57.4450663930169,64.4191878521985),(57.4489362573831,64.4146378788491),(57.4486759798542,64.4138546738168),(57.4486297080988,64.4134362492104),(57.4484330524749,64.4131143841286),(57.4482421798404,64.4132860455056),(57.4479934655029,64.4126101288338),(57.446076110045,64.4147011595996),(57.4457059079402,64.4145080405505),(57.4453819780129,64.4142398196491),(57.4451679513025,64.4134458857806),(57.4440066499416,64.4145203516181),(57.4428539634884,64.4098859441358),(57.4424432339814,64.4102292668897),(57.4420612901366,64.4087585776771))"
"Горошинка с/о","((56.8744688711847,65.3904932503815),(56.8796383741963,65.3928965096588),(56.8795443896235,65.4088610177154),(56.8772886890596,65.4080456261749),(56.8768187342481,65.4037111764068),(56.8754088341935,65.4027670388336),(56.874938855655,65.4004496102447),(56.8744688711847,65.3904932503815))"
"Горошинка-3 с/о","((56.8927938707272,65.432550287735),(56.8911966655959,65.4358118538971),(56.8950956045918,65.4457682137604),(56.8981487053206,65.4333227639313),(56.8927938707272,65.432550287735))"
"Горьковка","((57.1476108868541,65.2594637120361),(57.1463978763572,65.2569746220703),(57.1471443490802,65.2531122410888),(57.1410321587688,65.2481340611572),(57.1376723553416,65.2433275426025),(57.1360856750581,65.2483057225341),(57.1359923387972,65.2512239659424),(57.1348256155995,65.2495931828613),(57.1338455395814,65.2461599553223),(57.1343122456962,65.245215817749),(57.1339855520361,65.2421259129639),(57.133705526595,65.2419542515869),(57.1337521976495,65.2405809605713),(57.1301583535979,65.2416967595214),(57.1326787484496,65.2661585057373),(57.1318386359729,65.2667593205566),(57.1313252244813,65.2663301671142),(57.1314652465061,65.2684759343262),(57.1321653486549,65.2700208867187),(57.1330521256288,65.2695059025879),(57.133705526595,65.272595807373),(57.134498926488,65.2726816380615),(57.1378590191209,65.2753423894043),(57.1392589673403,65.2716516697998),(57.1415920962366,65.2735399449463),(57.1400989107544,65.2773164952392),(57.1405655377149,65.278003140747),(57.1402855622474,65.2792047703857),(57.142478646499,65.2822946751709),(57.1442050252922,65.2764581883545),(57.1447182574487,65.2771448338623),(57.1456513885145,65.2720808232422),(57.1466778054002,65.2737974370117),(57.1486372491676,65.2789472783203),(57.1518094610531,65.2750848973389),(57.1490571164206,65.2664159978027),(57.1479374597818,65.2662443364258),(57.1470510408167,65.2636694157715),(57.1476108868541,65.2594637120361))"
"Губина д.","((56.2037051971177,65.9899531347384),(56.2033583397539,65.9894166929354),(56.2014087035443,65.9882794363131),(56.2008704428887,65.986648653232),(56.2013728197366,65.9860263807406),(56.2008704428887,65.9843526823153),(56.2007508283796,65.9843526823153),(56.200487675141,65.9852753622164),(56.1997580134967,65.9847603780856),(56.2009302500028,65.9803830129732),(56.2006910209846,65.9784089071383),(56.2011455548382,65.9782157880892),(56.2013608584599,65.9785805685152),(56.2015163547652,65.978709314548),(56.2022220608103,65.9784089071383),(56.2029875577024,65.9855972272981),(56.2024373583639,65.9858976347079),(56.2024971630245,65.9866271955599),(56.203956367725,65.9862624151339),(56.2041118534636,65.9877429945101),(56.2043817044709,65.9884326036027),(56.2044182569979,65.989592597307),(56.2037051971177,65.9899531347384))"
"Гужевое","((57.1118385381161,65.0050500569256),(57.1108111511221,65.0052217183026),(57.1106944007902,65.0064233479412),(57.1111613999015,65.0094274220379),(57.1114182468938,65.0132039723309),(57.1116283931033,65.0141481099041),(57.1125390128496,65.0133327183636),(57.1118385381161,65.0050500569256))"
"Гузеневский","((57.3761180414683,65.9466614809146),(57.376164405284,65.9475627031436),(57.3789693066725,65.951768406879),(57.3781348130626,65.9538712587467),(57.3773234815543,65.9543862428775),(57.3766975849279,65.9541287508121),(57.3755848533583,65.9525408830752),(57.3752371177899,65.949794301044),(57.3755153065094,65.9476056184879),(57.3761180414683,65.9466614809146))"
"Гурина д.","((57.269809293509,64.3777180238156),(57.2714250871719,64.3781686349302),(57.2718421014884,64.378675572434),(57.271561670768,64.3798691554456),(57.2723724438679,64.3801534696012),(57.2730640569296,64.3794346375852),(57.2744472439291,64.3792844338804),(57.2747959382922,64.3769670052915),(57.2730989278349,64.3756366296202),(57.2739358195136,64.3717313332945),(57.2726107321989,64.3696284814268),(57.271112686568,64.3724743051915),(57.2706375419558,64.3726593776136),(57.2700127246876,64.3726861997038),(57.2689955575321,64.3723965211301),(57.268309680321,64.3722892327695),(57.2675191618778,64.3717957063108),(57.2663798553377,64.3721604867369),(57.2655427912425,64.3730187936217),(57.2663101007259,64.3758941216856),(57.269809293509,64.3777180238156))"
"Гусево","((57.0791315448736,65.303791315497),(57.0835248568351,65.2997572731387),(57.0874503531902,65.3074820351015),(57.0897867601249,65.3037054848086),(57.0913287077301,65.3119452309023),(57.0855811212445,65.3183825325381),(57.0817956368206,65.3229315590273),(57.0768879500411,65.3154642891299),(57.0791315448736,65.303791315497))"
"Девятково","((57.7736099255552,65.915464711324),(57.7732659866161,65.9136408091939),(57.7722112200354,65.9117310763753),(57.7720163141304,65.9120743991292),(57.7717526162257,65.9117096187032),(57.7713513330975,65.9128468753255),(57.7721997550114,65.9140914203084),(57.7720851045704,65.9153788806356),(57.7713742636825,65.916902375356),(57.770285044756,65.9155934573568),(57.7696544292553,65.9173100711263),(57.770995907161,65.9187262774861),(57.7715806382901,65.9203570605672),(57.7710876303194,65.9213655711568),(57.769149928898,65.9235971690572),(57.7692645886912,65.9250777484334),(57.7698493479537,65.9244340182698),(57.7706290121894,65.9260433436788),(57.7710990956978,65.9267085315145),(57.7722800101027,65.9241979838765),(57.7720048490443,65.9238546611226),(57.7725093093773,65.9228032351888),(57.773552602627,65.9222024203695),(57.7740341123855,65.9247129680074),(57.7763154638833,65.9238761187947),(57.7761205802104,65.9226101161397),(57.7759371593186,65.9220522166646),(57.7762581452656,65.9217303515828),(57.7757078818888,65.9195202113545),(57.7760747250751,65.9182327510274),(57.7773016810338,65.9176148816707),(57.7780926469496,65.9165419980648),(57.7778289935767,65.9158982679012),(57.778172888897,65.9153618260982),(57.776992167898,65.9128941938045),(57.7767285064598,65.9133233472469),(57.7742550003033,65.9149000766501),(57.7736099255552,65.915464711324))"
